Emiten_Code,URL,Directors,Commissioners,No,Kode Saham,Nama Perusahaan,Secretary,Email Address,Phone Number,Director,Comissioners,Audit Committee,Shareholders,Subsidiary,Public Accountant,Total Subsidiary
JGLE,https://www.idx.co.id/en/listed-companies/company-profiles/JGLE,"['NAME | POSITION | AFFILIATED', ' RESZA ADIKRESHNA | PRESIDENT DIRECTOR | NO', ' MELKY ALIANDRI | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' CAHYONO CAHYA ANGKASA | PRESIDENT COMMISIONER | NO', ' ADIKA NURAGA BAKRIE | COMMISSIONER | NO', ' ORI SETIANTO | COMMISSIONER | YES', ' DIYAN HAPSARI | COMMISSIONER | YES']",454,JGLE,Graha Andrasentra Propertindo Tbk.,Santoso Budi,info@jungleseries.co.id,0251-8211290,Director Name Position Affiliated Resza Adikreshna PRESIDENT DIRECTOR NoMelky Aliandri - DIRECTOR - No,Comissioners Name Position Independent Cahyono Cahya Angkasa PRESIDENT COMMISIONER NoAdika Nuraga Bakrie COMMISSIONER NoOri Setianto COMMISSIONER YesDiyan Hapsari - COMMISSIONER - Yes,"['ORI SETIANTO - HEAD ', ' MOHAMAD HASSAN - MEMBER ', ' MEILYN SOETIONO - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE BANQUE DE LUXEMBOURG - CLIENT ACCOUNT - MORE THAN 5% - 2,767,921,425 - 12.257% ', ' PT SURYA GLOBAL NUSANTARA - MORE THAN 5% - 8,753,037,308 - 38.761% ', ' EFG BANK AG - MORE THAN 5% - 1,822,592,196 - 8.071% ', ' SIAUW YUNUS SUBANDI - MORE THAN 5% - 1,234,858,500 - 5.468% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 6,157,681 - 0.03% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 7,997,342,295 - 35.413%']","['PT ANDRASENTRA PROPERTI SERVICES | PENGELOLA HOTEL | 4,094 | 99.99']",,1
JIHD,https://www.idx.co.id/en/listed-companies/company-profiles/JIHD,['NOT FOUND'],['NOT FOUND'],455,JIHD,Jakarta International Hotels & Development Tbk.,Hendi Lukman,corporatesecretary@jihd.co.id,5152555,Director Name Position Affiliated Santoso Gunara PRESIDENT DIRECTOR NoLanny Pujilestari Liga DIRECTOR NoHendi Lukman DIRECTOR NoTony Soesanto DIRECTOR NoAgung Rin Prabowo DIRECTOR NoErick Hartanto - DIRECTOR - No,Comissioners Name Position Independent Sugianto Kusuma PRESIDENT COMMISIONER NoTomy Winata VICE PRESIDENT COMMISIONER NoHartono Tjahjadi Adiwana VICE PRESIDENT COMMISIONER NoKu Siew Kuan COMMISSIONER YesLidwina Ong - COMMISSIONER - Yes,"['KU SIEW KUAN - HEAD ', ' DEDY DJAFARLI - MEMBER ', ' INDRA PRANAJAYA - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE TOMY WINATA - COMMISIONER - 306,243,700 - 13.15% ', ' SUKARDI TANDIJONO TANG - MORE THAN 5% - 140,880,000 - 6.05% ', ' PT KRESNA AJI SEMBADA - MORE THAN 5% - 932,401,192 - 40.03% ', ' PT CATUR KUSUMA ABADI SEJAHTERA - MORE THAN 5% - 164,604,361 - 7.07% ', ' TONY SOESANTO - DIRECTOR - 917,200 - 0.04% ', ' LANNY PUJILESTARI LIGA - DIRECTOR - 30,000 - 0% ', ' SANTOSO GUNARA - DIRECTOR - 742,500 - 0.03% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 232,771,557 - 10% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 550,449,972 - 23.63%']","['PT DANAYASA ARTHATAMA TBK | REAL ESTAT | 5,968,292,103 | 82.41', 'PT DHARMA HARAPAN RAYA | JASA MANAJEMEN PERHOTELAN | 17,258,776 | 60', 'PT JAKARTA INTERNATIONAL HOTELS MANAGEMENT | JASA MANAJEMEN PERHOTELAN | 0 | 90', 'PT PANDUNEKA SEJAHTERA | PEMBANGUNAN DAN PENGELOLAAN GEDUNG PERKANTORAN | 131,849,895 | 99.99']",,4
JKON,https://www.idx.co.id/en/listed-companies/company-profiles/JKON,"['NAME | POSITION | AFFILIATED', ' FRANSISKUS YOHANES H. LAZARO | PRESIDENT DIRECTOR | NO', ' BUDI M. SIANIPAR | VICE PRESIDEN DIRECTOR | NO', ' AGUS SETIADI LUKITA | VICE PRESIDEN DIRECTOR | NO', ' INDRAJANTI | DIRECTOR | NO', ' TRI WIBOWO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' LETJEN TNI (PURN.) DR. (H.C.) H. SUTIYOSO, S.H. | PRESIDENT COMMISIONER | NO', ' MASAGOES ISMAIL NING | COMMISSIONER | NO', ' FRANS SATYAKI SUNITO | COMMISSIONER | YES', ' KRISTIANTO INDRAWAN | COMMISSIONER | YES']",456,JKON,Jaya Konstruksi Manggala Pratama Tbk.,Indrajanti,corporate@jayakonstruksi.com,7363939,Lazaro PRESIDENT - DIRECTOR - No | Sianipar VICE PRESIDEN DIRECTOR NoAgus Setiadi Lukita VICE PRESIDEN DIRECTOR NoIndrajanti DIRECTOR NoTri Wibowo - DIRECTOR - No,PRESIDENT COMMISIONER NoMasagoes Ismail Ning COMMISSIONER NoFrans Satyaki Sunito COMMISSIONER YesKristianto Indrawan - COMMISSIONER - Yes,"['FRANS SATYAKI SUNITO - HEAD ', ' SRI NUGROHO - MEMBER ', ' EUGENIA FIONA SUSIANTO - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT PEMBANGUNAN JAYA - MORE THAN 5% - 9,929,587,750 - 60.89% ', ' MASAGOES ISMAIL NING - COMMISIONER - 8,065,000 - 0.05% ', ' AGUS SETIADI LUKITA - DIRECTOR - 43,290,000 - 0.27% ', ' TRI WIBOWO - DIRECTOR - 200 - 0% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 386,003,840 - 2.37% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 5,992,928,270 - 36.42%']","['PT JAYA BETON INDONESIA | PRODUKSI DAN PERDAGANGAN BARANG BANGUNAN YANG DIBUAT DARI CAMPURAN BETON | 608,198,775 | 99.90', 'PT JAYA DAIDO CONCRETE | PRODUKSI TIANG PANCANG BETON PRA TEKAN, MENGARAHKAN TIANG PANCANG BETON, DESAIN DAN PERENCANAAN PONDASI TIANG PANCANG, PELAKSANA DAN MENGANALISA PENGUJIAN MUATAN BEBAN | 9,879,373 | 88.76', 'PT JAYA KONSTRUKSI PRATAMA TOL | PEMBANGUNAN DAN JASA | 4,967,158 | 75', 'PT JAYA TEKNIK INDONESIA | PERDAGANGAN, PEMBANGUNAN, JASA DAN PERINDUSTRIAN | 435,207,248 | 99.99', 'PT JAYA TRADE INDONESIA | PERDAGANGAN | 1,210,319,680 | 99.99']",,5
JMAS,https://www.idx.co.id/en/listed-companies/company-profiles/JMAS,"['NAME | POSITION | AFFILIATED', ' BASUKI AGUS | PRESIDENT DIRECTOR | NO', ' AJI DARMAJI | DIRECTOR | NO', ' GUS IMRON GUNASENDJAJA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' AHMAD NUGRAHA | COMMISSIONER | YES', ' DHIMAS ACHMAD SIDHARTA | COMMISSIONER | YES', ' H. M. ANDY ARSLAN DJUNAID | PRESIDENT COMMISIONER | NO']",457,JMAS,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk.,Mawar Arsiani Djunaid,mawar.arsiarni@jmasyariah.com,021-82470083,Director Name Position Affiliated Basuki Agus PRESIDENT DIRECTOR NoAji Darmaji DIRECTOR NoGus Imron Gunasendjaja - DIRECTOR - No,Comissioners Name Position Independent Ahmad Nugraha COMMISSIONER YesDhimas Achmad Sidharta - COMMISSIONER - Yes | Andy Arslan Djunaid - PRESIDENT COMMISIONER - No,"['AHMAD NUGRAHA - HEAD ', ' SHAKTI AGUSTONO RAHARDJO - MEMBER ', ' DADI ADRIANA - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE KOPERASI SIMPAN PINJAM JASA - MORE THAN 5% - 579,500,000 - 57.95% ', ' PT PIJAR INVESTASI NUSANTARA - MORE THAN 5% - 83,000,000 - 8.3% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 337,500,000 - 33.75%']",[''],"HUSNI, MUCHARAM & RASIDI",0
JPFA,https://www.idx.co.id/en/listed-companies/company-profiles/JPFA,"['NAME | POSITION | AFFILIATED', ' RENALDO SANTOSA | PRESIDENT DIRECTOR | NO', ' TAN YONG NANG | VICE PRESIDENT | NO', ' - | DIRECTOR | NO', ' LEO HANDOKO LAKSONO | DIRECTOR | NO', ' RACHMAT INDRAJAYA | DIRECTOR | NO', ' GABRIELLA SANTOSA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' HAJI SYAMSIR SIREGAR | PRESIDENT COMMISIONER | NO', ' BAMBANG BUDI HENDARTO | VICE PRESIDENT COMMISIONER | YES', ' HENDRICK KOLONAS | COMMISSIONER | NO', ' ITO SUMARDI DJUNI SANYOTO | COMMISSIONER | YES', ' ANTONIUS HARWANTO SURYO SEMBODO | COMMISSIONER | NO']",458,JPFA,Japfa Comfeed Indonesia Tbk.,Maya Pradjono,mayap@japfacomfeed.co.id; sugeng@japfacomfeed.co.id,(021) 2854 5680,Director Name Position Affiliated Renaldo Santosa PRESIDENT - DIRECTOR - No | DIRECTOR NoLeo Handoko Laksono DIRECTOR NoRachmat Indrajaya DIRECTOR NoGabriella Santosa - DIRECTOR - No,Comissioners Name Position Independent Haji Syamsir Siregar PRESIDENT COMMISIONER NoBambang Budi Hendarto VICE PRESIDENT COMMISIONER YesHendrick Kolonas COMMISSIONER NoIto Sumardi Djuni Sanyoto COMMISSIONER YesAntonius Harwanto Suryo Sembodo - COMMISSIONER - No,"['ITO SUMARDI DJUNI SANYOTO - HEAD ', ' EDWIN SURATMAN, SE, AK - MEMBER ', ' KARYA UTAMA ATMADILAGA, SE, AK - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE TAN YONG NANG - DIRECTOR - 380,000 - 0% ', ' LEO HANDOKO LAKSONO - DIRECTOR - 1,000,000 - 0.01% ', ' JAPFA PTE. LTD. - MORE THAN 5% - 6,500,176,516 - 55.43% ', ' N/A - MORE THAN 5% - 0 - 0% ', ' IR. RACHMAT INDRAJAYA - DIRECTOR - 164,800 - 0% ', ' ANTONIUS HARWANTO - COMMISIONER - 0 - 0% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 98,905,300 - 0.84% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 50,982,630 - 0.43% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 5,074,965,955 - 43.29%']","['APACHEE PTE., LTD | JASA TRANSPORTASI | 223,160 | 100', 'COMFEED FINANCE B.V. | INVESTASI | 0 | 100', 'COMFEED TRADING B.V. | PERDAGANGAN | 0 | 100', 'PT AGRINUSA JAYA SANTOSA | INDUSTRI PRODUK FARMASI UNTUK HEWAN, PERDAGANGAN BESAR FARMASI, MESIN, PERALATAN DAN PERLENGKAPAN PERTANIAN | 1,371,932 | 100', 'PT AGRO HARMONI BUMI | AGROWISATA DAN PERMAKULTUR | 10,089 | 100', 'PT ARTHA LAUTAN MULYA | TAMBAK UDANG | 5,208 | 100', 'PT BHIRAWA MITRA SENTOSA | JASA TRANSPORTASI | 197,023 | 100', 'PT BINTANG LAUT TIMUR | PETERNAKAN KOMERSIAL | 680 | 100', 'PT BUMIASRI LESTARI | TAMBAK UDANG | 9,998 | 60', 'PT CAHAYA GUNUNG FOODS | INDUSTRI MAKANAN | 257,694 | 40']",,41
JRPT,https://www.idx.co.id/en/listed-companies/company-profiles/JRPT,"['NAME | POSITION | AFFILIATED', ' TRISNA MULIADI | PRESIDENT DIRECTOR | NO', ' YOHANNES HENKY WIJAYA | VICE PRESIDENT | NO', ' IR. SUTOPO KRISTANTO, MM | VICE PRESIDENT | NO', ' ADI WIJAYA, SE | DIRECTOR | NO', ' DRA. SWANDAYANI | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' CANDRA CIPUTRA | PRESIDENT COMMISIONER | NO', ' VIVIAN SETJAKUSUMA | COMMISSIONER | NO', ' OKKY DHARMOSETIO | COMMISSIONER | YES']",459,JRPT,Jaya Real Property Tbk.,Audi Lazaro,audi.lazaro@jayarealproperty.com,021-7458888,,,[''],[''],"['PT JAYA CITRA HOTEL | PERHOTELAN/HOTEL | 53,395,640 | 55', 'PT JAYA GARDENPOLIS DAN ENTITAS ANAK | REAL ESTAT | 1,999,619,752 | 84', 'PT JAYA LETRIS PROPERTI | PEMBANGUNAN DAN JASA | 92,814,455 | 60', 'PT JAYA MITRA SARANA | PEMBANGUNAN DAN JASA | 29,167,473 | 50', 'PT JAYA PROPERTI FATMAWATI | PEMBANGUNAN DAN JASA | 64,806,601 | 100', 'PT JAYA PROPERTI HOTEL | PERHOTELAN/HOTEL | 202,654,687 | 99.90', 'PT JAYA PROPERTI SIMATUPANG | PEMBANGUNAN DAN JASA | 76,600,766 | 100', 'PT JAYA SARANA PRATAMA | PEMBANGUNAN DAN JASA | 4,027,375 | 60', 'PT JEJARING OPTIK BINTARO JAYA | PENYEDIA LAYANAN JARINGAN | 10,369,460 | 100', 'PT PRIMAINTI PERMATA | PEMBANGUNAN DAN JASA | 390,744,474 | 100']",,11
JSKY,https://www.idx.co.id/en/listed-companies/company-profiles/JSKY,"['NAME | POSITION | AFFILIATED', ' JUNG FAN | PRESIDENT DIRECTOR | NO', ' HIDEKI IIDA | DIRECTOR | NO', ' NAOKI ISHIKAWA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' HANTORO | PRESIDENT COMMISIONER | NO', ' BUHANUDIN AMIN | COMMISSIONER | YES']",460,JSKY,Sky Energy Indonesia Tbk.,Yusuf Woro Widhi Firmanto,corsec.legal@sky-energy.co.id,(021) 8665 0100,Director Name Position Affiliated Jung Fan PRESIDENT DIRECTOR NoHideki Iida DIRECTOR NoNaoki Ishikawa - DIRECTOR - No,Comissioners Name Position Independent Hantoro PRESIDENT COMMISIONER NoBuhanudin Amin - COMMISSIONER - Yes,[''],[''],"['PT SPACE ENERGY INDONESIA | BIDANG PERDAGANGAN, JASA, PEMBANGUNAN, INDUSTRY DAN PERTAMBANGAN | 3 | 99']","JAMALUDIN, ARDI, SUKIMTO & REKANHADORI, SUGIARTO, ADI & REKAN",1
JSMR,https://www.idx.co.id/en/listed-companies/company-profiles/JSMR,"['NAME | POSITION | AFFILIATED', ' RIVAN ACHMAD PURWANTORO | PRESIDENT DIRECTOR | NO', ' FITRI WIYANTI | DIRECTOR | NO', ' REZA FEBRIANO | DIRECTOR | NO', ' YOGA TRI ANGGORO | DIRECTOR | NO', ' PRAMITHA WULANJANI | DIRECTOR | NO', ' ARI RESPATI | DIRECTOR | NO', ' YAYA RUHIYA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' JURI ARDIANTORO | PRESIDENT COMMISIONER | NO', ' SYAMSUL BACHRI YUSUF | COMMISSIONER | NO', ' ASRORUN NI-AM SHOLEH | COMMISSIONER | NO', ' NACHROWI RAMLI | COMMISSIONER | YES', ' RUDI ANTARIKSAWAN | COMMISSIONER | YES', ' TEDI KURNIAWAN | COMMISSIONER | YES']",461,JSMR,Jasa Marga (Persero) Tbk.,Ari Wibowo,sekper@jasamarga.co.id,+6221-8413526 +6221-8413630,Director Name Position Affiliated Rivan Achmad Purwantoro PRESIDENT DIRECTOR NoFitri Wiyanti DIRECTOR NoReza Febriano DIRECTOR NoYoga Tri Anggoro DIRECTOR NoPramitha Wulanjani DIRECTOR NoAri Respati DIRECTOR NoYaya Ruhiya - DIRECTOR - No,Comissioners Name Position Independent Juri Ardiantoro PRESIDENT COMMISIONER NoSyamsul Bachri Yusuf - COMMISSIONER - No | Sholeh COMMISSIONER NoNachrowi Ramli COMMISSIONER YesRudi Antariksawan COMMISSIONER YesTedi Kurniawan - COMMISSIONER - Yes,"['RUDI ANTARIKSAWAN - HEAD ', ' TEDI KURNIAWAN - MEMBER ', ' SITI PURNAMA RIZKI - MEMBER ', ' FIBRIA INDRIATI DWI LIESTIAWATI - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE NEGARA REPUBLIK INDONESIA - MORE THAN 5% - 1 - 0% ', ' FITRI WIYANTI - DIRECTOR - 587,800 - 0.0081% ', ' REZA FEBRIANO - DIRECTOR - 560,200 - 0.0077% ', ' MOHAMAD AGUS SETIAWAN - DIRECTOR - 0 - 0% ', ' PRAMITHA WULANJANI - DIRECTOR - 289,200 - 0.004% ', ' PT DANANTARA ASSET MANAGEMENT (PERSERO) - MORE THAN 5% - 5,080,509,839 - 70% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 1,000,000 - 0.01% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 2,174,924,160 - 29.9702%']","['PT CINERE SERPONG JAYA (CSJ) | PENGUSAHAAN RUAS JALAN TOL SERPONG-CINERE | 3,385,254 | 55', 'PT JALANTOL LINGKARLUAR JAKARTA (JLJ) | JASA PENGOPERASIAN JALAN TOL | 0 | 0', 'PT JASAMARGA AKSES PATIMBAN (JAP) | PENGUSAHAAN RUAS JALAN TOL AKSES PATIMBAN | 1,894,300 | 62.04', 'PT JASAMARGA BALI TOL (JBT) | PENGUSAHAAN RUAS JALAN TOL NUSA DUA-TANJUNG BENOA | 1,865,125 | 64.44', 'PT JASAMARGA BALIKPAPAN SAMARINDA (JBS) | PENGUSAHAAN RUAS JALAN TOL BALIKPAPAN-SAMARINDA | 9,549,664 | 67.39', 'PT JASAMARGA JAPEK SELATAN (JJS) | PENGUSAHAAN RUAS JALAN TOL JAKARTA-CIKAMPEK II SISI SELATAN | 13,207,368 | 91.38', 'PT JASAMARGA JOGJA BAWEN (JJB) | PENGUSAHAAN RUAS JALAN TOL YOGYAKARTA-BAWEN | 6,030,973 | 71.35', 'PT JASAMARGA KUALANAMU TOL (JMKT) | PENGUSAHAAN RUAS JALAN TOL MEDAN-KUALANAMU-TEBING TINGGI | 4,100,057 | 55', 'PT JASAMARGA KUNCIRAN CENGKARENG (JKC) | PENGUSAHAAN RUAS JALAN TOL KUNCIRAN-CENGKARENG | 5,043,380 | 88.67', 'PT JASAMARGA MANADO BITUNG (JMB) | PENGUSAHAAN RUAS JALAN TOL MANADO-BITUNG | 4,385,698 | 64.97']",,17
JSPT,https://www.idx.co.id/en/listed-companies/company-profiles/JSPT,"['NAME | POSITION | AFFILIATED', ' LIE ERFURT CHANDRA PUTRA ASALI | DIRECTOR | NO', ' FRED PERRY MARTONO | DIRECTOR | NO', ' ANTON GOENAWAN | DIRECTOR | NO', ' BRAM VAN HOOF | DIRECTOR | NO', ' JEFRI DARMADI | PRESIDENT DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' LIM MERRY | COMMISSIONER | NO', ' PURWO HARI PRAWIRO | PRESIDENT COMMISIONER | NO', ' GUNAWAN TENGGARAHARDJA | COMMISSIONER | YES', ' JERRY HUA-LIN WANG | COMMISSIONER | NO', ' EDDY | COMMISSIONER | YES']",462,JSPT,Jakarta Setiabudi Internasional Tbk.,,,,,,[''],[''],"['PT ANTILOPE MADJU DAN ENTITAS ANAK | REAL ESTAT DAN PERHOTELAN | 1,962,632 | 60', 'PT ANTILOPE MADJU DAN ENTITAS ANAK | REAL ESTAT DAN PERHOTELAN | 2,009,734 | 60', 'PT ANTILOPE MADJU DAN ENTITAS ANAK | REAL ESTAT DAN PERHOTELAN | 2,026,293 | 60', 'PT ANTILOPE MADJU DAN ENTITAS ANAK | REAL ESTAT DAN PERHOTELAN | 2,035,796 | 60', 'PT ANTILOPE MADJU DAN ENTITAS ANAK | REAL ESTAT DAN PERHOTELAN | 2,035,796 | 60', 'PT BALI NUSADEWATA VILLAGE | PENYEWAAN PUSAT RITEL | 192,533 | 75', 'PT BALI NUSADEWATA VILLAGE | PENYEWAAN PUSAT RITEL | 192,533 | 75', 'PT BALI NUSADEWATA VILLAGE | PENYEWAAN PUSAT RITEL | 185,365 | 75', 'PT BALI NUSADEWATA VILLAGE | PENYEWAAN PUSAT RITEL | 183,744 | 75', 'PT BALI NUSADEWATA VILLAGE | PENYEWAAN PUSAT RITEL | 179,180 | 75']",,50
JTPE,https://www.idx.co.id/en/listed-companies/company-profiles/JTPE,"['NAME | POSITION | AFFILIATED', ' OEI, ALLAN WIBISONO | PRESIDENT DIRECTOR | NO', ' DRS. LUKITO BUDIMAN | DIRECTOR | NO', ' OEI, HENDRO SUSANTO | DIRECTOR | NO', ' SARAH PAMELA | DIRECTOR | NO', ' SULISTIANI IKWANTO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' YONGKY WIJAYA | PRESIDENT COMMISIONER | NO', ' PROF. DR. MADE SUDARMA MM, CPA, CA. AK. | COMMISSIONER | YES', ' JEAN-PIERRE TING | COMMISSIONER | NO']",463,JTPE,Jasuindo Tiga Perkasa Tbk.,Drs. Lukito Budiman,corporate.secretary@jasuindo.com,031 891 0919,Allan Wibisono PRESIDENT - DIRECTOR - No | Lukito Budiman - DIRECTOR - No | Hendro Susanto DIRECTOR NoSarah Pamela DIRECTOR NoSulistiani Ikwanto - DIRECTOR - No,Comissioners Name Position Independent Yongky Wijaya - PRESIDENT COMMISIONER - No | Pierre Ting - COMMISSIONER - No,"['PROF. DR. MADE SUDARMA - HEAD ', ' MADE DUDY SATYAWAN, JR - MEMBER ', ' NOSY YODI METANA - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE OEI, ALLAN WIBISONO - DIRECTOR - 50,000,000 - 0.73% ', ' PT. JASUINDO MULTI INVESTAMA - MORE THAN 5% - 3,129,590,000 - 45.67% ', ' TOPPAN GRAVITY LIMITED - MORE THAN 5% - 1,370,410,000 - 20% ', ' YONGKY WIJAYA - COMMISIONER - 325,103,500 - 4.74% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 12,300,000 - 0.18% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 1,964,646,500 - 28.68%']","['PT INDIKA ADIDAYA MANDIRI (IAM) | JASA SOLUSI TEKNOLOGI INFORMASI | 671,614,583 | 98', 'PT JASUINDO INFORMATIKA PRATAMA (JIP) | JASA SOLUSI TEKNOLOGI INFORMASI | 59,121,390,600 | 99.96', 'PT SOLUSI IDENTITAS GLOBAL NET (SIGN) | INFORMASI DAN TELEKOMUNIKASI | 25,808,687,576 | 99', 'PT. JASUINDO HID SECURITY (JHID) | INDUSTRI PERCETAKAN KHUSUS | 325,427,365,080 | 51', 'PT. SOLUSI ANAK MILENIAL (SAM) | INFORMASI DAN TELEKOMUNIKASI | 12,290,002,312 | 99']",,5
KAEF,https://www.idx.co.id/en/listed-companies/company-profiles/KAEF,"['NAME | POSITION | AFFILIATED', ' DJAGAD PRAKASA DWIALAM | PRESIDENT DIRECTOR | NO', ' WILLY MERIDIEN | DIRECTOR | NO', ' HADI KARDOKO | DIRECTOR | NO', ' DISRIL REVOLIN PUTRA | DIRECTOR | NO', ' JASMINE KARSONO | DIRECTOR | NO', ' HANADI SETIARTO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' STEFAN LOHOO | PRESIDENT COMMISIONER | YES', ' SUPRIANTO | COMMISSIONER | NO', ' SUMARJATI ARJOSO | COMMISSIONER | NO', ' FACHMI IDRIS | COMMISSIONER | YES', ' DIAH KUSUMAWARDANI | COMMISSIONER | YES']",464,KAEF,Kimia Farma Tbk.,Ida Rasita,corsec@kimiafarma.co.id,021 3847709,Director Name Position Affiliated Djagad Prakasa Dwialam PRESIDENT DIRECTOR NoWilly Meridien DIRECTOR NoHadi Kardoko DIRECTOR NoDisril Revolin Putra DIRECTOR NoJasmine Karsono DIRECTOR NoHanadi Setiarto - DIRECTOR - No,Comissioners Name Position Independent Stefan Lohoo PRESIDENT COMMISIONER YesSuprianto COMMISSIONER NoSumarjati Arjoso COMMISSIONER NoFachmi Idris COMMISSIONER YesDiah Kusumawardani - COMMISSIONER - Yes,"['FACHMI IDRIS - HEAD ', ' STEFAN LOOHO - MEMBER ', ' SYAIFUL - MEMBER ', ' RINI YULIUS - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT BIO FARMA (PERSERO) - MORE THAN 5% - 4,999,999,999 - 89.82% ', ' NEGARA REPUBLIK INDONESIA - MORE THAN 5% - 1 - 0% ', ' PUBLIK - MORE THAN 5% - 0 - 0% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 566,589,577 - 10.18%']","['PT KIMIA FARMA APOTEK (KFA) | APOTEK (RITEL) / PHARMACY | 2,384,308,751 | 59.99', 'PT KIMIA FARMA SUNGWUN PHARMACOPIA (KFSP) | PABRIK BAHAN BAKU OBAT / DRUG MATERIAL PLANT | 156,492,713 | 80.67', 'PT KIMIA FARMA TRADING & DISTRIBUTION (KFTD) | DISTRIBUSI OBAT-OBATAN / MEDICINE DISTRIBUTION | 2,526,059,990 | 99.99', 'PT PHAPROS TBK (PEHA) | PABRIK OBAT-OBATAN / DRUG PLANT | 1,457,039,211 | 56.77', 'PT SINKONA INDONESIA LESTARI (SIL) | PABRIK KINA / QUININE FACTORY | 252,676,708 | 51']",,5
